epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a,expr_acc
1,1.40573850546482,0.8022504980721756,0.6034880077678282,0.7712258100509644,0.32484129071235657,0.5480335503816605,0.4483642876148224,0.34501734375953674,0.3248046338558197,0.28734350204467773,0.7333580567402188
2,1.40853695437085,0.8049171164152011,0.6036198418501209,0.7691448330879211,0.3230372667312622,0.5460910499095917,0.44917064905166626,0.3365914523601532,0.3217461407184601,0.2815210521221161,0.735212312256629
3,1.394233518340601,0.7984047519678827,0.5958287683432093,0.7674383521080017,0.32380568981170654,0.5456220209598541,0.45265525579452515,0.33691340684890747,0.3192764222621918,0.28184017539024353,0.7366957166697571
4,1.3882990938651105,0.7957255441118142,0.5925735518648692,0.7704483270645142,0.3228244185447693,0.5466363728046417,0.4471922218799591,0.336502343416214,0.3229113221168518,0.2813681364059448,0.735212312256629
5,1.3784385552386715,0.790179978193158,0.5882585774175968,0.7707569599151611,0.3231233060359955,0.5469401329755783,0.44648081064224243,0.3404243290424347,0.3246292173862457,0.2840120792388916,0.7335434822918598
6,1.368052137702361,0.7884074351309192,0.5796447026954694,0.7702652215957642,0.3232373893260956,0.5467513054609299,0.44792440533638,0.35405316948890686,0.324007511138916,0.29305168986320496,0.7328017800852957
7,1.37495538210178,0.792812754979759,0.5821426225965578,0.7703344225883484,0.3220726251602173,0.5462035238742828,0.44727230072021484,0.33515307307243347,0.32202887535095215,0.2805914282798767,0.7370665677730391
8,1.3641748282302029,0.7867868794633615,0.5773879476257859,0.7702695727348328,0.324349582195282,0.5473095774650574,0.44815564155578613,0.34121575951576233,0.3219439387321472,0.2849186956882477,0.7357685889115521
9,1.3628662647705125,0.7850901939144233,0.5777760723196169,0.7695109844207764,0.32165998220443726,0.5455854833126068,0.4447140693664551,0.3370927572250366,0.3192121386528015,0.2818984091281891,0.7344706100500649
10,1.3487457744240394,0.7787926815578483,0.5699530930119239,0.7710760831832886,0.3233266770839691,0.5472013801336288,0.4459238350391388,0.33749479055404663,0.31873348355293274,0.2823573052883148,0.7374374188763212
